vin,timestamp,end_time,odo,end_odo,soc,end_soc,duration,avg_speed,event_id,event_emb_0,event_emb_1,charge_mode_emb_0,charge_mode_emb_1
1.0,0.0,0.11666666666666667,4436.640625,4439.46875,56.4,54.9,7.0,24.241071428571427,1,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,0.13333333333333333,18.7,4439.46875,4439.46875,54.9,100.0,1114.0,0.0,2,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
1.0,18.7,18.833333333333332,4439.46875,4442.5,100.0,100.0,8.0,22.734375,3,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,18.833333333333332,21.25,4442.5,4457.125,100.0,94.5,145.0,6.051724137931035,4,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,21.25,21.366666666666667,4457.125,4461.45,94.5,94.5,7.0,37.07142857142701,5,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,21.783333333333335,21.8,4461.45,4461.48375,94.1,94.1,1.0,2.025000000030559,6,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,24.95,25.266666666666666,4461.48375,4480.75,93.7,89.4,19.0,60.84078947368318,7,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,41.61666666666667,42.5,4480.75,4560.171875,89.0,70.1,53.0,89.91155660377359,8,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,42.78333333333333,42.833333333333336,4560.171875,4560.359375,70.1,70.1,3.0,3.75,9,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,47.06666666666667,48.55,4560.359375,4656.9375,70.5,43.9,89.0,65.10884831460675,10,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,48.766666666666666,48.78333333333333,4656.9375,4658.234375,43.5,43.5,1.0,77.8125,11,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,48.78333333333333,49.416666666666664,4658.234375,4658.234375,43.5,46.6,38.0,0.0,12,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
1.0,49.416666666666664,49.483333333333334,4658.234375,4658.234375,46.6,46.6,4.0,0.0,13,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,49.5,49.61666666666667,4658.921875,4662.390625,46.6,45.4,7.0,29.732142857142858,14,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,69.23333333333333,69.33333333333333,4662.390625,4665.203125,45.8,45.0,6.0,28.125,15,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,69.75,76.95,4667.953125,4667.953125,44.3,72.5,432.0,0.0,16,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
1.0,76.95,78.13333333333334,4667.953125,4768.390625,72.5,48.6,71.0,84.87676056338029,17,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,78.48333333333333,79.5,4768.390625,4865.609375,48.2,16.4,61.0,95.625,18,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,87.26666666666667,87.41666666666667,4865.609375,4868.421875,16.8,16.0,9.0,18.75,19,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,87.43333333333334,87.46666666666667,4868.421875,4868.421875,16.0,16.0,2.0,0.0,20,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
1.0,87.46666666666667,92.56666666666666,4868.421875,4868.421875,16.0,58.4,306.0,0.0,21,1.7326595783233643,0.6621506214141846,-0.28173285722732544,-0.5927109122276306
1.0,92.56666666666666,92.68333333333334,4868.421875,4870.953125,58.4,58.8,7.0,21.69642857142857,22,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,93.95,94.28333333333333,4870.953125,4880.484375,59.2,58.4,20.0,28.59375,23,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,94.35,94.38333333333334,4880.484375,4880.484375,58.0,59.6,2.0,0.0,24,1.7326595783233643,0.6621506214141846,-2.8710339069366455,1.403311848640442
1.0,94.38333333333334,94.96666666666667,4880.484375,4880.484375,59.6,81.1,35.0,0.0,25,1.7326595783233643,0.6621506214141846,-2.8710339069366455,1.403311848640442
1.0,94.96666666666667,95.95,4880.484375,4973.09375,81.1,60.7,59.0,94.17902542372882,26,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,95.95,96.0,4973.09375,4973.25,60.7,60.7,3.0,3.125,27,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
1.0,96.0,96.05,4973.25,4974.078125,60.7,60.3,3.0,16.5625,28,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2758.15,2758.45,2096.265625,2106.125,70.9,69.4,18.0,32.864583333333336,29,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2761.8333333333335,2762.016666666667,2106.125,2112.5,69.4,68.2,11.0,34.77272727272727,30,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2762.25,2762.4333333333334,2112.5,2118.859375,67.8,67.4,11.0,34.6875,31,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2766.2166666666667,2766.4333333333334,2118.875,2129.15625,66.6,63.5,13.0,47.45192307692307,32,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2784.6833333333334,2784.9333333333334,2129.15625,2142.859375,63.5,60.3,15.0,54.8125,33,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2785.65,2785.9166666666665,2142.859375,2157.046875,59.6,56.0,16.0,53.203125,34,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2787.7,2787.95,2157.046875,2170.640625,55.6,52.1,15.0,54.375,35,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2788.2,2788.35,2170.640625,2177.8125,51.7,49.8,9.0,47.8125,36,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2801.1833333333334,2801.4166666666665,2177.8125,2188.28125,47.8,45.0,14.0,44.86607142857143,37,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2805.8333333333335,2806.116666666667,2188.28125,2201.890625,44.3,42.3,17.0,48.033088235294116,38,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2811.983333333333,2812.25,2201.890625,2216.0625,41.9,38.8,16.0,53.14453125,39,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2820.95,2821.3,2216.0625,2231.390625,38.0,33.7,21.0,43.79464285714286,40,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2821.366666666667,2822.2166666666667,2231.390625,2286.71875,33.7,24.3,51.0,65.09191176470588,41,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2822.25,2822.766666666667,2286.71875,2286.734375,24.3,59.2,31.0,0.030241935483870965,42,1.7326595783233643,0.6621506214141846,-2.8710339069366455,1.403311848640442
2.0,2822.766666666667,2823.2,2286.734375,2307.015625,59.2,55.6,26.0,46.80288461538461,43,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2825.6,2826.0333333333333,2307.015625,2318.296875,51.7,49.8,26.0,26.033653846153847,44,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
2.0,2826.8166666666666,2826.9666666666667,2318.296875,2322.265625,49.8,49.8,9.0,26.458333333333336,45,1.3845237493515015,0.4984055757522583,0.11322269588708878,-1.1728769540786743
