vin,timestamp,end_time,odo,end_odo,soc,end_soc,event,charge_mode,duration,avg_speed,event_id
1.0,2021-01-01 20:31:00,2021-01-01 20:38:00,4436.640625,4439.46875,56.4,54.9,trip,0,7.0,24.241071428571427,1
1.0,2021-01-01 20:39:00,2021-01-02 15:13:00,4439.46875,4439.46875,54.9,100.0,charge,240,1114.0,0.0,2
1.0,2021-01-02 15:13:00,2021-01-02 15:21:00,4439.46875,4442.5,100.0,100.0,trip,0,8.0,22.734375,3
1.0,2021-01-02 15:21:00,2021-01-02 17:46:00,4442.5,4457.125,100.0,94.5,trip,0,145.0,6.051724137931035,4
1.0,2021-01-02 17:46:00,2021-01-02 17:53:00,4457.125,4461.45,94.5,94.5,trip,0,7.0,37.07142857142701,5
1.0,2021-01-02 18:18:00,2021-01-02 18:19:00,4461.45,4461.48375,94.1,94.1,trip,0,1.0,2.025000000030559,6
1.0,2021-01-02 21:28:00,2021-01-02 21:47:00,4461.48375,4480.75,93.7,89.4,trip,0,19.0,60.84078947368318,7
1.0,2021-01-03 14:08:00,2021-01-03 15:01:00,4480.75,4560.171875,89.0,70.1,trip,0,53.0,89.91155660377359,8
1.0,2021-01-03 15:18:00,2021-01-03 15:21:00,4560.171875,4560.359375,70.1,70.1,trip,0,3.0,3.75,9
1.0,2021-01-03 19:35:00,2021-01-03 21:04:00,4560.359375,4656.9375,70.5,43.9,trip,0,89.0,65.10884831460675,10
1.0,2021-01-03 21:17:00,2021-01-03 21:18:00,4656.9375,4658.234375,43.5,43.5,trip,0,1.0,77.8125,11
1.0,2021-01-03 21:18:00,2021-01-03 21:56:00,4658.234375,4658.234375,43.5,46.6,charge,240,38.0,0.0,12
1.0,2021-01-03 21:56:00,2021-01-03 22:00:00,4658.234375,4658.234375,46.6,46.6,trip,0,4.0,0.0,13
1.0,2021-01-03 22:01:00,2021-01-03 22:08:00,4658.921875,4662.390625,46.6,45.4,trip,0,7.0,29.732142857142858,14
1.0,2021-01-04 17:45:00,2021-01-04 17:51:00,4662.390625,4665.203125,45.8,45.0,trip,0,6.0,28.125,15
1.0,2021-01-04 18:16:00,2021-01-05 01:28:00,4667.953125,4667.953125,44.3,72.5,charge,240,432.0,0.0,16
1.0,2021-01-05 01:28:00,2021-01-05 02:39:00,4667.953125,4768.390625,72.5,48.6,trip,0,71.0,84.87676056338029,17
1.0,2021-01-05 03:00:00,2021-01-05 04:01:00,4768.390625,4865.609375,48.2,16.4,trip,0,61.0,95.625,18
1.0,2021-01-05 11:47:00,2021-01-05 11:56:00,4865.609375,4868.421875,16.8,16.0,trip,0,9.0,18.75,19
1.0,2021-01-05 11:57:00,2021-01-05 11:59:00,4868.421875,4868.421875,16.0,16.0,charge,240,2.0,0.0,20
1.0,2021-01-05 11:59:00,2021-01-05 17:05:00,4868.421875,4868.421875,16.0,58.4,charge,240,306.0,0.0,21
1.0,2021-01-05 17:05:00,2021-01-05 17:12:00,4868.421875,4870.953125,58.4,58.8,trip,0,7.0,21.69642857142857,22
1.0,2021-01-05 18:28:00,2021-01-05 18:48:00,4870.953125,4880.484375,59.2,58.4,trip,0,20.0,28.59375,23
1.0,2021-01-05 18:52:00,2021-01-05 18:54:00,4880.484375,4880.484375,58.0,59.6,charge,DCCharging,2.0,0.0,24
1.0,2021-01-05 18:54:00,2021-01-05 19:29:00,4880.484375,4880.484375,59.6,81.1,charge,DCCharging,35.0,0.0,25
1.0,2021-01-05 19:29:00,2021-01-05 20:28:00,4880.484375,4973.09375,81.1,60.7,trip,0,59.0,94.17902542372882,26
1.0,2021-01-05 20:28:00,2021-01-05 20:31:00,4973.09375,4973.25,60.7,60.7,trip,0,3.0,3.125,27
1.0,2021-01-05 20:31:00,2021-01-05 20:34:00,4973.25,4974.078125,60.7,60.3,trip,0,3.0,16.5625,28
2.0,2021-04-26 18:40:00,2021-04-26 18:58:00,2096.265625,2106.125,70.9,69.4,trip,0,18.0,32.864583333333336,29
2.0,2021-04-26 22:21:00,2021-04-26 22:32:00,2106.125,2112.5,69.4,68.2,trip,0,11.0,34.77272727272727,30
2.0,2021-04-26 22:46:00,2021-04-26 22:57:00,2112.5,2118.859375,67.8,67.4,trip,0,11.0,34.6875,31
2.0,2021-04-27 02:44:00,2021-04-27 02:57:00,2118.875,2129.15625,66.6,63.5,trip,0,13.0,47.45192307692307,32
2.0,2021-04-27 21:12:00,2021-04-27 21:27:00,2129.15625,2142.859375,63.5,60.3,trip,0,15.0,54.8125,33
2.0,2021-04-27 22:10:00,2021-04-27 22:26:00,2142.859375,2157.046875,59.6,56.0,trip,0,16.0,53.203125,34
2.0,2021-04-28 00:13:00,2021-04-28 00:28:00,2157.046875,2170.640625,55.6,52.1,trip,0,15.0,54.375,35
2.0,2021-04-28 00:43:00,2021-04-28 00:52:00,2170.640625,2177.8125,51.7,49.8,trip,0,9.0,47.8125,36
2.0,2021-04-28 13:42:00,2021-04-28 13:56:00,2177.8125,2188.28125,47.8,45.0,trip,0,14.0,44.86607142857143,37
2.0,2021-04-28 18:21:00,2021-04-28 18:38:00,2188.28125,2201.890625,44.3,42.3,trip,0,17.0,48.033088235294116,38
2.0,2021-04-29 00:30:00,2021-04-29 00:46:00,2201.890625,2216.0625,41.9,38.8,trip,0,16.0,53.14453125,39
2.0,2021-04-29 09:28:00,2021-04-29 09:49:00,2216.0625,2231.390625,38.0,33.7,trip,0,21.0,43.79464285714286,40
2.0,2021-04-29 09:53:00,2021-04-29 10:44:00,2231.390625,2286.71875,33.7,24.3,trip,0,51.0,65.09191176470588,41
2.0,2021-04-29 10:46:00,2021-04-29 11:17:00,2286.71875,2286.734375,24.3,59.2,charge,DCCharging,31.0,0.030241935483870965,42
2.0,2021-04-29 11:17:00,2021-04-29 11:43:00,2286.734375,2307.015625,59.2,55.6,trip,0,26.0,46.80288461538461,43
2.0,2021-04-29 14:07:00,2021-04-29 14:33:00,2307.015625,2318.296875,51.7,49.8,trip,0,26.0,26.033653846153847,44
2.0,2021-04-29 15:20:00,2021-04-29 15:29:00,2318.296875,2322.265625,49.8,49.8,trip,0,9.0,26.458333333333336,45
2.0,2021-04-29 17:05:00,2021-04-29 18:53:00,2322.265625,2411.515625,49.0,26.6,trip,0,108.0,49.58333333333333,46
2.0,2021-04-29 18:53:00,2021-04-29 19:05:00,2411.515625,2419.8125,26.6,25.8,trip,0,12.0,41.484375,47
2.0,2021-04-29 19:05:00,2021-04-29 19:16:00,2419.8125,2419.84375,25.8,25.4,trip,0,11.0,0.17045454545454547,48
2.0,2021-04-29 19:16:00,2021-04-29 23:10:00,2419.84375,2498.796875,25.4,12.1,trip,0,234.0,20.244391025641026,49
2.0,2021-04-29 23:11:00,2021-04-29 23:19:00,2498.796875,2502.71875,12.1,11.3,trip,0,8.0,29.4140625,50
2.0,2021-04-29 23:34:00,2021-04-29 23:34:00,2502.71875,2502.75,10.9,10.9,trip,0,0.0,inf,51
2.0,2021-04-29 23:35:00,2021-04-30 00:40:00,2502.75,2502.75,10.9,20.0,charge,240,65.0,0.0,52
2.0,2021-04-30 00:40:00,2021-04-30 00:48:00,2502.75,2507.140625,20.0,18.8,trip,0,8.0,32.9296875,53
2.0,2021-04-30 18:52:00,2021-04-30 19:11:00,2507.140625,2520.84375,20.3,18.4,trip,0,19.0,43.27302631578947,54
2.0,2021-04-30 19:11:00,2021-04-30 21:54:00,2520.84375,2520.84375,18.4,34.9,charge,240,163.0,0.0,55
2.0,2021-04-30 21:54:00,2021-04-30 21:57:00,2520.84375,2521.03125,34.9,34.9,trip,0,3.0,3.75,56
2.0,2021-05-01 00:47:00,2021-05-01 01:04:00,2521.03125,2535.15625,35.2,32.1,trip,0,17.0,49.85294117647059,57
2.0,2021-05-01 15:24:00,2021-05-01 15:55:00,2535.15625,2541.265625,30.5,29.8,trip,0,31.0,11.824596774193548,58
2.0,2021-05-01 15:55:00,2021-05-01 16:07:00,2541.265625,2547.1875,29.8,28.6,trip,0,12.0,29.609375,59
2.0,2021-05-01 16:24:00,2021-05-01 16:40:00,2547.1875,2557.328125,28.2,27.0,trip,0,16.0,38.02734375,60
2.0,2021-05-01 18:19:00,2021-05-01 18:28:00,2557.328125,2562.8125,26.6,25.8,trip,0,9.0,36.5625,61
2.0,2021-05-01 18:37:00,2021-05-01 18:51:00,2562.8125,2573.890625,25.8,24.3,trip,0,14.0,47.47767857142857,62
2.0,2021-05-01 18:52:00,2021-05-02 00:04:00,2573.890625,2573.890625,24.3,41.1,charge,240,312.0,0.0,63
2.0,2021-05-02 00:04:00,2021-05-02 00:06:00,2573.890625,2574.078125,41.1,41.1,trip,0,2.0,5.625,64
2.0,2021-05-02 00:34:00,2021-05-02 00:43:00,2574.078125,2582.265625,41.1,39.6,trip,0,9.0,54.583333333333336,65
2.0,2021-05-02 01:00:00,2021-05-02 01:11:00,2582.265625,2588.34375,39.2,38.4,trip,0,11.0,33.15340909090909,66
2.0,2021-05-02 15:38:00,2021-05-02 16:11:00,2588.34375,2609.625,36.8,34.1,trip,0,33.0,38.69318181818181,67
2.0,2021-05-02 16:11:00,2021-05-02 16:53:00,2609.625,2609.65625,34.1,33.3,trip,0,42.0,0.044642857142857144,68
2.0,2021-05-02 16:53:00,2021-05-02 16:57:00,2609.65625,2611.796875,33.3,33.7,trip,0,4.0,32.109375,69
2.0,2021-05-02 17:32:00,2021-05-02 17:38:00,2611.796875,2614.203125,33.7,33.3,trip,0,6.0,24.0625,70
2.0,2021-05-03 13:33:00,2021-05-03 13:50:00,2614.203125,2625.515625,32.1,30.1,trip,0,17.0,39.9264705882353,71
2.0,2021-05-03 13:54:00,2021-05-03 14:31:00,2625.515625,2649.546875,30.1,26.2,trip,0,37.0,38.96959459459459,72
2.0,2021-05-03 18:32:00,2021-05-03 18:48:00,2649.546875,2657.875,25.8,24.3,trip,0,16.0,31.23046875,73
2.0,2021-05-03 18:54:00,2021-05-03 19:07:00,2657.875,2664.53125,24.3,23.9,trip,0,13.0,30.721153846153847,74
2.0,2021-05-03 19:26:00,2021-05-03 19:33:00,2664.53125,2667.984375,23.5,23.1,trip,0,7.0,29.598214285714285,75
2.0,2021-05-03 19:56:00,2021-05-03 20:04:00,2667.984375,2671.890625,23.1,22.7,trip,0,8.0,29.296875,76
2.0,2021-05-03 20:22:00,2021-05-03 20:43:00,2671.890625,2687.1875,22.3,19.2,trip,0,21.0,43.705357142857146,77
2.0,2021-05-03 21:44:00,2021-05-03 21:58:00,2687.1875,2694.96875,19.2,17.6,trip,0,14.0,33.348214285714285,78
2.0,2021-05-03 22:06:00,2021-05-03 22:21:00,2694.96875,2704.03125,17.6,16.0,trip,0,15.0,36.25,79
2.0,2021-05-04 14:41:00,2021-05-04 15:08:00,2704.03125,2718.265625,15.6,13.3,trip,0,27.0,31.631944444444443,80
2.0,2021-05-04 15:20:00,2021-05-04 15:43:00,2718.265625,2734.28125,12.9,10.5,trip,0,23.0,41.77989130434782,81
2.0,2021-05-04 17:46:00,2021-05-04 18:08:00,2734.28125,2749.71875,12.5,10.1,trip,0,22.0,42.102272727272734,82
